index,question,answer,response,confidence_score
8847,"Consider the country of Sweden. Does the country provide for involuntary loss of citizenship by a person who acquired citizenship at birth and does not renounce another citizenship also acquired at birth and, if so, under which conditions?",No,No,
804,"Consider the country of Barbados. Does the country provide for reacquisition of citizenship by a former citizen, and, if so, under which conditions?",No,Yes,
7532,"Consider the country of Honduras. Does the country provide for involuntary loss of citizenship by a person one or both of whose parents lose citizenship of the country and, if so, under which conditions?",No,No,
383,Consider the country of Belgium. Does the country require renunciation or loss of other citizenships for residence- based acquisition?,No,No,
3522,"Consider the country of Luxembourg. Does the country provide for extending the acquisition of citizenship to the child of a person who is acquiring citizenship and, if so, under which conditions?",Yes,No,
7957,"Consider the country of Sri Lanka. Does the country provide for a citizen to voluntarily renounce his/her citizenship and, if so, under which conditions?",Yes,Yes,
1800,"Consider the country of Estonia. Does the country permit a parent to confer his or her citizenship on a child born abroad and, if so, under which conditions?",Yes,Yes,
164,"Consider the country of Argentina. Does the country provide specific conditions for the acquisition of citizenship by a refugee in its territory (different from those for residence- based acquisition) and, if so, under which conditions?",No,No,
1078,"Consider the country of China. Does the country provide for citizen of a country in good acquisition or recognition of citizenship in case of a person who has acted as a citizen in good faith or was treated by the authorities as a citizen for some time and, if so, under which conditions?",No,No,
1395,"Consider the country of Cyprus. Does the country have a safeguard that provides for the grant of citizenship to a child of unknown parentage found in the territory and, if so, under which conditions?",No,No,
4188,Consider the country of Nigeria. Which residence conditions does the country provide for residence-based acquisition?,Yes,Yes,
9176,"Consider the country of Venezuela. Does the country provide for involuntary loss of citizenship by a person who acquires a foreign citizenship and, if so, under which conditions?",No,No,
5234,"Consider the country of South Sudan. Does the country permit a parent to confer his or her citizenship on a child born abroad and, if so, under which conditions?",Yes,No,
1629,"Consider the country of Algeria. Does the country permit a parent to confer his or her citizenship on a child born in the territory of the country of citizenship and, if so, under which conditions?",Yes,Yes,
3256,"Consider the country of Lebanon. Does the country provide specific conditions for the acquisition of citizenship by a refugee in its territory (different from those for residence- based acquisition) and, if so, under which conditions?",No,No,
2663,"Consider the country of Iran. Does the country impose a requirement related to economic resources for residence-based acquisition, such as demonstrating income level, engagement in employment or the absence of welfare dependency?",No,Yes,
284,Consider the country of Austria. Does the country require the absence of certain crimes and/or offences or proof of moral character for residence- based acquisition?,Yes,No,
932,"Consider the country of Central African Republic. Does the country provide for acquisition of citizenship by the child of a person who has become a citizen (but the child did not do so at the same time) and, if so, under which conditions?",Yes,No,
73,"Consider the country of Albania. Does the country provide for the acquisition of citizenship if parentage is established after birth and, if so, under which conditions?",No,No,
3782,"Consider the country of Mali. Does the country require knowledge of a national language, and at what level of competence, for residence- based acquisition?",Yes,Yes,
7314,"Consider the country of France. Does the country provide for involuntary loss of citizenship by a person who renders military service to a foreign country and, if so, under which conditions?",Yes,No,
7437,"Consider the country of Guinea Bissau. Does the country provide for involuntary loss of citizenship by a person who acquired citizenship at birth and does not renounce another citizenship also acquired at birth and, if so, under which conditions?",No,No,
5088,"Consider the country of Solomon Islands. Does the country provide for facilitated acquisition of citizenship (on easier terms than residence-based acquisition) by a person who is a citizen of a specific country and, if so, under which conditions?",No,No,
2671,"Consider the country of Iran. Does the country provide for extending the acquisition of citizenship to the spouse or registered partner of a person who is acquiring citizenship and, if so, under which conditions?",Yes,No,
2669,"Consider the country of Iran. Does the country provide for acquisition of citizenship by the spouse, child or grandchild of a former citizen and, if so, under which conditions?",Yes,No,
8631,"Consider the country of Rwanda. Does the country provide for involuntary loss of citizenship by a person who acquired citizenship as a foundling, on the basis of apparent status as a citizen, or as a presumptively stateless person if possession of a foreign citizenship is established and, if so, under which conditions?",No,No,
5353,"Consider the country of Slovakia. Does the country provide for acquisition of citizenship by a person who is adopted by a citizen, or cared for by a similar legal arrangement, and, if so, under which conditions?",Yes,Yes,
966,"Consider the country of Canada. Does the country provide for acquisition of citizenship by the child of a person who has become a citizen (but the child did not do so at the same time) and, if so, under which conditions?",No,Yes,
223,"Consider the country of Antigua and Barbuda. Does the country provide for acquisition of citizenship by the spouse, child or grandchild of a former citizen and, if so, under which conditions?",No,Yes,
4658,"Consider the country of Poland. Does the country provide for a child to acquire citizenship based on birth in the territory if one parent was also born there, irrespective of his/her citizenship, and, if so, under which conditions?",No,Yes,
7537,"Consider the country of Croatia. Does the country provide for a citizen to voluntarily renounce his/her citizenship and, if so, under which conditions?",Yes,Yes,
5435,"Consider the country of Sweden. Does the country provide for acquisition of citizenship by a person who is in the public service (including military service) and, if so, under which conditions?",No,No,
4826,"Consider the country of Romania. Does the country permit a parent to confer his or her citizenship on a child born abroad and, if so, under which conditions?",Yes,Yes,
9016,"Consider the country of Tunisia. Does the country provide for involuntary loss of citizenship by a person who acquired or retained citizenship on the condition that he or she renounced another citizenship and it is discovered that the person retains a foreign citizenship and, if so, under which conditions?",No,No,
7680,"Consider the country of Israel. Does the country provide for involuntary loss of citizenship by a person who has acquired citizenship or been recognised as a citizen as a result of fraud or misrepresentation and, if so, under which conditions?",Yes,Yes,
7193,"Consider the country of Ecuador. Does the country provide for involuntary loss of citizenship because of residence abroad and, if so, under which conditions?",No,No,
6441,"Consider the country of Zimbabwe. Does the country provide for acquisition of citizenship by a person who is adopted by a citizen, or cared for by a similar legal arrangement, and, if so, under which conditions?",Yes,No,
4248,"Consider the country of Netherlands. Does the country permit a parent to confer his or her citizenship on a child born abroad and, if so, under which conditions?",Yes,Yes,
3913,"Consider the country of Mongolia. Does the country provide for the acquisition of citizenship if parentage is established after birth and, if so, under which conditions?",No,No,
1865,"Consider the country of Ethiopia. Does the country provide for acquisition of citizenship by a person who is in the public service (including military service) and, if so, under which conditions?",No,No,
8644,"Consider the country of Saudi Arabia. Does the country provide for involuntary loss of citizenship by a person whose descent from a citizen is annulled and, if so, under which conditions?",No,No,
2721,"Consider the country of Iceland. Does the country have a safeguard that provides for the grant of citizenship to a child of unknown parentage found in the territory and, if so, under which conditions?",Yes,No,
2108,"Consider the country of Ghana. Does the country provide for a child to acquire citizenship based on birth in the territory if one parent was also born there, irrespective of his/her citizenship, and, if so, under which conditions?",No,Yes,
8895,"Consider the country of Syria. Does the country provide for involuntary loss of citizenship by a person who has acquired citizenship or been recognised as a citizen as a result of fraud or misrepresentation and, if so, under which conditions?",Yes,No,
5628,"Consider the country of Tajikistan. Does the country provide for acquisition of citizenship by the spouse, child or grandchild of a deceased citizen and, if so, under which conditions?",No,No,
833,"Consider the country of Brunei. Does the country provide for acquisition of citizenship by a relative other than the spouse or child of a person who is already a citizen and, if so, under which conditions?",No,No,
5156,"Consider the country of El Salvador. Does the country provide for facilitated acquisition of citizenship (on easier terms than residence-based acquisition) by a person who is a citizen of a specific country and, if so, under which conditions?",Yes,No,
5028,"Consider the country of Senegal. Does the country provide for acquisition of citizenship by a person who makes a specific payment or invests a substantial sum of money in the country and, if so, under which conditions?",No,No,
1096,"Consider the country of Cote dIvoire. Does the country require knowledge of a national language, and at what level of competence, for residence- based acquisition?",No,Yes,
2398,"Consider the country of Guyana. Does the country provide for acquisition of citizenship by the spouse, child or grandchild of a deceased citizen and, if so, under which conditions?",Yes,No,
1580,"Consider the country of Denmark. Does the country provide for acquisition of citizenship by a relative other than the spouse or child of a person who is already a citizen and, if so, under which conditions?",No,No,
4746,"Consider the country of Portugal. Does the country provide for extending the acquisition of citizenship to the child of a person who is acquiring citizenship and, if so, under which conditions?",Yes,Yes,
4306,"Consider the country of Norway. Does the country provide for facilitated acquisition of citizenship (on easier terms than residence-based acquisition) by a person who is a citizen of a specific country and, if so, under which conditions?",Yes,No,
2744,"Consider the country of Iceland. Does the country provide for citizen of a country in good acquisition or recognition of citizenship in case of a person who has acted as a citizen in good faith or was treated by the authorities as a citizen for some time and, if so, under which conditions?",No,No,
6420,"Consider the country of Zambia. Does the country provide for acquisition of citizenship by a person who has special achievements and, if so, under which conditions?",No,No,
2690,"Consider the country of Iraq. Does the country have a safeguard that provides for the grant of citizenship to an otherwise stateless child born in the country, and if so, under which conditions?",Yes,No,
8272,"Consider the country of Namibia. Does the country provide for a citizen to voluntarily renounce his/her citizenship and, if so, under which conditions?",Yes,Yes,
8177,"Consider the country of Montenegro. Does the country provide for involuntary loss of citizenship by a person one or both of whose parents lose citizenship of the country and, if so, under which conditions?",Yes,No,
1983,"Consider the country of Micronesia. Does the country impose a requirement related to economic resources for residence-based acquisition, such as demonstrating income level, engagement in employment or the absence of welfare dependency?",No,No,
3775,"Consider the country of Mali. Does the country have a safeguard that provides for the grant of citizenship to a child of unknown parentage found in the territory and, if so, under which conditions?",Yes,No,
8659,"Consider the country of Sudan. Does the country provide for involuntary loss of citizenship by a person whose descent from a citizen is annulled and, if so, under which conditions?",No,No,
201,"Consider the country of Armenia. Does the country provide for acquisition of citizenship by a person who is in the public service (including military service) and, if so, under which conditions?",No,No,
9134,"Consider the country of United States of America. Does the country provide for involuntary loss of citizenship by a person who commits (criminal) offences (other than those covered in L07) and, if so, under which conditions?",Yes,Yes,
8002,"Consider the country of Luxembourg. Does the country provide for a citizen to voluntarily renounce his/her citizenship and, if so, under which conditions?",Yes,Yes,
875,"Consider the country of Bhutan. Does the country provide for facilitated acquisition of citizenship (on easier terms than residence-based acquisition) by a person who has resided in the country for a very long time and, if so, under which conditions?",No,No,
2415,"Consider the country of Honduras. Does the country have a safeguard that provides for the grant of citizenship to a child of unknown parentage found in the territory and, if so, under which conditions?",Yes,No,
6866,"Consider the country of Central African Republic. Does the country provide for involuntary loss of citizenship by a person who acquires a foreign citizenship and, if so, under which conditions?",Yes,No,
8518,"Consider the country of Poland. Does the country provide for involuntary loss of citizenship by a person who is disloyal to the country, whose conduct is considered treasonous or whose loss of citizenship is otherwise considered to be in the interest of the country and, if so, under which conditions?",No,No,
4975,"Consider the country of Sudan. Does the country impose a requirement related to economic resources for residence-based acquisition, such as demonstrating income level, engagement in employment or the absence of welfare dependency?",Yes,No,
1457,"Consider the country of Czech Republic. Does the country provide for acquisition of citizenship by a person who is in the public service (including military service) and, if so, under which conditions?",No,No,
6190,"Consider the country of Vietnam. Does the country have a safeguard that provides for the grant of citizenship to an otherwise stateless child and, if so, under which conditions?",Yes,No,
1250,"Consider the country of Colombia. Does the country provide specific conditions for the acquisition of citizenship by a refugee in its territory (different from those for residence- based acquisition) and, if so, under which conditions?",No,No,
8108,"Consider the country of Macedonia. Does the country provide for involuntary loss of citizenship because of residence abroad and, if so, under which conditions?",No,No,
5040,"Consider the country of Singapore. Does the country require knowledge of a national language, and at what level of competence, for residence- based acquisition?",Yes,Yes,
578,"Consider the country of Bahamas. Does the country permit a parent to confer his or her citizenship on a child born abroad and, if so, under which conditions?",Yes,Yes,
991,Consider the country of Switzerland. Does the country provide for period of residence in a residence-based acquisition?,Yes,Yes,
8535,"Consider the country of North Korea. Does the country provide for involuntary loss of citizenship by a person who has acquired citizenship or been recognised as a citizen as a result of fraud or misrepresentation and, if so, under which conditions?",No,No,
8154,"Consider the country of Myanmar. Does the country provide for involuntary loss of citizenship by a person who renders military service to a foreign country and, if so, under which conditions?",No,No,
345,"Consider the country of Burundi. Does the country provide for the acquisition of citizenship if parentage is established after birth and, if so, under which conditions?",Yes,No,
1102,"Consider the country of Cote dIvoire. Does the country provide for acquisition of citizenship by the child of a person who has become a citizen (but the child did not do so at the same time) and, if so, under which conditions?",No,No,
5456,"Consider the country of Swaziland. Does the country provide for acquisition of citizenship by a relative other than the spouse or child of a person who is already a citizen and, if so, under which conditions?",No,No,
4032,"Consider the country of Mauritius. Does the country provide for extending the acquisition of citizenship to the child of a person who is acquiring citizenship and, if so, under which conditions?",No,Yes,
8860,"Consider the country of Swaziland. Does the country provide for involuntary loss of citizenship by a person who renders (non- military) services to a foreign country and, if so, under which conditions?",No,No,
8591,"Consider the country of Romania. Does the country provide for involuntary loss of citizenship by a person who acquires a foreign citizenship and, if so, under which conditions?",No,No,
7013,"Consider the country of Comoros. Does the country provide for involuntary loss of citizenship because of residence abroad and, if so, under which conditions?",No,No,
4711,"Consider the country of North Korea. Does the country provide for extending the acquisition of citizenship to the spouse or registered partner of a person who is acquiring citizenship and, if so, under which conditions?",No,No,
3793,"Consider the country of Mali. Does the country provide for extending the acquisition of citizenship to the spouse or registered partner of a person who is acquiring citizenship and, if so, under which conditions?",No,No,
3296,"Consider the country of Libya. Does the country permit a parent to confer his or her citizenship on a child born abroad and, if so, under which conditions?",Yes,Yes,
5430,"Consider the country of Sweden. Does the country provide for citizen of a country in good acquisition or recognition of citizenship in case of a person who has acted as a citizen in good faith or was treated by the authorities as a citizen for some time and, if so, under which conditions?",No,Yes,
1742,"Consider the country of Eritrea. Does the country require knowledge of a national language, and at what level of competence, for residence- based acquisition?",Yes,Yes,
2784,"Consider the country of Israel. Does the country provide for acquisition of citizenship by a person who makes a specific payment or invests a substantial sum of money in the country and, if so, under which conditions?",No,Yes,
6460,"Consider the country of Afghanistan. Does the country provide for involuntary loss of citizenship by a person who renders (non- military) services to a foreign country and, if so, under which conditions?",No,No,
3050,"Consider the country of Cambodia. Does the country provide for citizen of a country in good acquisition or recognition of citizenship in case of a person who has acted as a citizen in good faith or was treated by the authorities as a citizen for some time and, if so, under which conditions?",No,No,
5768,"Consider the country of Trinidad and Tobago. Does the country provide for facilitated acquisition of citizenship (on easier terms than residence-based acquisition) by a person who is a citizen of a specific country and, if so, under which conditions?",Yes,No,
6886,"Consider the country of Canada. Does the country provide for involuntary loss of citizenship by a person who acquired or retained citizenship on the condition that he or she renounced another citizenship and it is discovered that the person retains a foreign citizenship and, if so, under which conditions?",No,No,
5215,"Consider the country of Serbia. Does the country provide for acquisition of citizenship by the spouse or registered partner of a person who is already a citizen and, if so, under which conditions?",Yes,Yes,
6780,"Consider the country of Bolivia. Does the country provide for involuntary loss of citizenship by a person who has acquired citizenship or been recognised as a citizen as a result of fraud or misrepresentation and, if so, under which conditions?",No,No,
8153,"Consider the country of Myanmar. Does the country provide for involuntary loss of citizenship because of residence abroad and, if so, under which conditions?",Yes,No,
2896,Consider the country of Japan. Which residence conditions does the country provide for residence-based acquisition?,Yes,Yes,
3076,"Consider the country of Kiribati. Does the country provide for acquisition of citizenship by a relative other than the spouse or child of a person who is already a citizen and, if so, under which conditions?",No,No,
5728,"Consider the country of Tonga. Does the country provide for acquisition of citizenship by a relative other than the spouse or child of a person who is already a citizen and, if so, under which conditions?",No,No,
5946,"Consider the country of Tanzania. Does the country provide for acquisition of citizenship by a person who makes a specific payment or invests a substantial sum of money in the country and, if so, under which conditions?",No,No,
2150,"Consider the country of Guinea. Does the country require knowledge of a national language, and at what level of competence, for residence- based acquisition?",Yes,Yes,
6221,"Consider the country of Vanuatu. Does the country provide for a child to acquire citizenship based on birth in the territory irrespective of the citizenship and birthplace of his/her parents and, if so, under which conditions?",No,No,
8928,"Consider the country of Togo. Does the country provide for involuntary loss of citizenship by a person whose spouse or registered partner loses citizenship of the country and, if so, under which conditions?",No,No,
4523,"Consider the country of Peru. Does the country have a safeguard that provides for the grant of citizenship to a child of unknown parentage found in the territory and, if so, under which conditions?",Yes,No,
3366,"Consider the country of Liechtenstein. Does the country provide for a child to acquire citizenship based on birth in the territory if one parent was also born there, irrespective of his/her citizenship, and, if so, under which conditions?",No,No,
4652,"Consider the country of Papua New Guinea. Does the country provide for acquisition of citizenship by a person who has special achievements and, if so, under which conditions?",Yes,No,
5155,"Consider the country of El Salvador. Does the country provide for reacquisition of citizenship by a former citizen, and, if so, under which conditions?",Yes,No,
4586,"Consider the country of Philippines. Does the country provide for acquisition of citizenship by a person who makes a specific payment or invests a substantial sum of money in the country and, if so, under which conditions?",No,No,
8400,"Consider the country of New Zealand. Does the country provide for involuntary loss of citizenship by a person who has acquired citizenship or been recognised as a citizen as a result of fraud or misrepresentation and, if so, under which conditions?",Yes,Yes,
7812,"Consider the country of Kiribati. Does the country provide for involuntary loss of citizenship by a person who acquired citizenship at birth and does not renounce another citizenship also acquired at birth and, if so, under which conditions?",No,No,
3278,"Consider the country of Liberia. Does the country provide for acquisition of citizenship by the child of a person who has become a citizen (but the child did not do so at the same time) and, if so, under which conditions?",No,Yes,
5738,"Consider the country of Tonga. Does the country provide specific conditions for the acquisition of citizenship by a refugee in its territory (different from those for residence- based acquisition) and, if so, under which conditions?",No,No,
8913,"Consider the country of Chad. Does the country provide for involuntary loss of citizenship by a person whose spouse or registered partner loses citizenship of the country and, if so, under which conditions?",Yes,No,
8325,"Consider the country of Nicaragua. Does the country provide for involuntary loss of citizenship by a person who has acquired citizenship or been recognised as a citizen as a result of fraud or misrepresentation and, if so, under which conditions?",Yes,No,
1620,"Consider the country of Dominican Republic. Does the country provide for facilitated acquisition of citizenship (on easier terms than residence-based acquisition) by a person who is a citizen of a specific country and, if so, under which conditions?",No,No,
2695,Consider the country of Iraq. Does the country require the demonstration of civic knowledge or cultural integration for residence-based acquisition?,No,No,
2080,Consider the country of Georgia. Which residence conditions does the country provide for residence-based acquisition?,Yes,Yes,
7518,"Consider the country of Guyana. Does the country provide for involuntary loss of citizenship by a person whose spouse or registered partner loses citizenship of the country and, if so, under which conditions?",No,No,
2229,"Consider the country of Guinea Bissau. Does the country provide for extending the acquisition of citizenship to the spouse or registered partner of a person who is acquiring citizenship and, if so, under which conditions?",No,No,
3880,"Consider the country of Montenegro. Does the country have a safeguard that provides for the grant of citizenship to an otherwise stateless child born in the country, and if so, under which conditions?",No,No,
5803,"Consider the country of Tunisia. Does the country provide for facilitated acquisition of citizenship (on easier terms than residence-based acquisition) by a person who has an affinity to its culture, language, religion or ethnicity and, if so, under which conditions?",No,No,
1885,"Consider the country of Finland. Does the country provide for acquisition of citizenship by a person who is adopted by a citizen, or cared for by a similar legal arrangement, and, if so, under which conditions?",Yes,Yes,
2394,"Consider the country of Guyana. Does the country provide for acquisition of citizenship by the child of a person who has become a citizen (but the child did not do so at the same time) and, if so, under which conditions?",Yes,Yes,
5527,"Consider the country of Syria. Does the country provide for extending the acquisition of citizenship to the spouse or registered partner of a person who is acquiring citizenship and, if so, under which conditions?",Yes,No,
7912,"Consider the country of Libya. Does the country provide for a citizen to voluntarily renounce his/her citizenship and, if so, under which conditions?",No,Yes,
7427,"Consider the country of Gambia. Does the country provide for involuntary loss of citizenship by a person one or both of whose parents lose citizenship of the country and, if so, under which conditions?",No,No,
1874,"Consider the country of Finland. Does the country have a safeguard that provides for the grant of citizenship to an otherwise stateless child born in the country, and if so, under which conditions?",Yes,Yes,
1640,"Consider the country of Algeria. Does the country require knowledge of a national language, and at what level of competence, for residence- based acquisition?",Yes,Yes,
7014,"Consider the country of Comoros. Does the country provide for involuntary loss of citizenship by a person who renders military service to a foreign country and, if so, under which conditions?",No,No,
1338,"Consider the country of Costa Rica. Does the country provide for acquisition of citizenship by a person who as a minor has had a certain period of residence or schooling in the country and, if so, under which conditions?",No,No,
274,"Consider the country of Austria. Does the country provide for a child to acquire citizenship based on birth in the territory if one parent was also born there, irrespective of his/her citizenship, and, if so, under which conditions?",No,Yes,
2635,"Consider the country of Ireland. Does the country provide for acquisition of citizenship by the spouse, child or grandchild of a former citizen and, if so, under which conditions?",No,Yes,
5560,"Consider the country of Chad. Does the country provide for acquisition of citizenship by the spouse, child or grandchild of a deceased citizen and, if so, under which conditions?",No,No,
4732,Consider the country of Portugal. Which residence conditions does the country provide for residence-based acquisition?,Yes,Yes,
4427,Consider the country of Oman. Does the country require renunciation or loss of other citizenships for residence- based acquisition?,Yes,No,
4804,Consider the country of Qatar. Does the country require the absence of certain crimes and/or offences or proof of moral character for residence- based acquisition?,Yes,No,
2685,"Consider the country of Iraq. Does the country provide for a child to acquire citizenship based on birth in the territory irrespective of the citizenship and birthplace of his/her parents and, if so, under which conditions?",No,No,
8978,"Consider the country of Tonga. Does the country provide for involuntary loss of citizenship because of residence abroad and, if so, under which conditions?",No,No,
5427,"Consider the country of Sweden. Does the country provide for reacquisition of citizenship by a former citizen, and, if so, under which conditions?",Yes,Yes,
7402,"Consider the country of Guinea. Does the country provide for a citizen to voluntarily renounce his/her citizenship and, if so, under which conditions?",Yes,Yes,
6977,"Consider the country of Congo DRC. Does the country provide for involuntary loss of citizenship by a person one or both of whose parents lose citizenship of the country and, if so, under which conditions?",No,No,
5667,"Consider the country of Turkmenistan. Does the country provide for facilitated acquisition of citizenship (on easier terms than residence-based acquisition) by a person who has an affinity to its culture, language, religion or ethnicity and, if so, under which conditions?",Yes,No,
5130,"Consider the country of Sierra Leone. Does the country provide for acquisition of citizenship by a person who makes a specific payment or invests a substantial sum of money in the country and, if so, under which conditions?",No,No,
2994,"Consider the country of Kyrgyzstan. Does the country have a safeguard that provides for the grant of citizenship to an otherwise stateless child and, if so, under which conditions?",Yes,No,
7780,"Consider the country of Kyrgyzstan. Does the country provide for involuntary loss of citizenship by a person who renders (non- military) services to a foreign country and, if so, under which conditions?",No,No,
2462,"Consider the country of Croatia. Does the country provide for acquisition of citizenship by the child of a person who has become a citizen (but the child did not do so at the same time) and, if so, under which conditions?",No,Yes,
3595,"Consider the country of Morocco. Does the country provide for facilitated acquisition of citizenship (on easier terms than residence-based acquisition) by a person who has resided in the country for a very long time and, if so, under which conditions?",No,No,
7749,"Consider the country of Kazakhstan. Does the country provide for involuntary loss of citizenship by a person who renders military service to a foreign country and, if so, under which conditions?",Yes,No,
2696,Consider the country of Iraq. Does the country require the absence of certain crimes and/or offences or proof of moral character for residence- based acquisition?,Yes,No,
6932,"Consider the country of China. Does the country provide for involuntary loss of citizenship by a person one or both of whose parents lose citizenship of the country and, if so, under which conditions?",No,No,
5796,"Consider the country of Tunisia. Does the country provide for acquisition of citizenship by a relative other than the spouse or child of a person who is already a citizen and, if so, under which conditions?",No,No,
5955,Consider the country of Uganda. Does the country provide for period of residence in a residence-based acquisition?,Yes,Yes,
4767,Consider the country of Paraguay. Does the country require renunciation or loss of other citizenships for residence- based acquisition?,No,No,
6413,"Consider the country of Zambia. Does the country provide for reacquisition of citizenship by a former citizen, and, if so, under which conditions?",Yes,No,
8025,"Consider the country of Latvia. Does the country provide for involuntary loss of citizenship by a person who has acquired citizenship or been recognised as a citizen as a result of fraud or misrepresentation and, if so, under which conditions?",Yes,Yes,
4203,"Consider the country of Nigeria. Does the country provide for reacquisition of citizenship by a former citizen, and, if so, under which conditions?",No,Yes,
6203,"Consider the country of Vietnam. Does the country provide for acquisition of citizenship by a person who is adopted by a citizen, or cared for by a similar legal arrangement, and, if so, under which conditions?",Yes,Yes,
6354,"Consider the country of Yemen. Does the country provide for acquisition of citizenship by a person who makes a specific payment or invests a substantial sum of money in the country and, if so, under which conditions?",No,No,
1612,"Consider the country of Dominican Republic. Does the country provide for acquisition of citizenship by the child of a person who has become a citizen (but the child did not do so at the same time) and, if so, under which conditions?",No,Yes,
1833,"Consider the country of Ethiopia. Does the country permit a parent to confer his or her citizenship on a child born in the territory of the country of citizenship and, if so, under which conditions?",Yes,Yes,
2059,"Consider the country of United Kingdom. Does the country provide for extending the acquisition of citizenship to the spouse or registered partner of a person who is acquiring citizenship and, if so, under which conditions?",Yes,Yes,
8125,"Consider the country of Mali. Does the country provide for involuntary loss of citizenship by a person who renders (non- military) services to a foreign country and, if so, under which conditions?",Yes,No,
2682,"Consider the country of Iran. Does the country provide for acquisition of citizenship by a person who makes a specific payment or invests a substantial sum of money in the country and, if so, under which conditions?",No,Yes,
8459,"Consider the country of Peru. Does the country provide for involuntary loss of citizenship by a person who commits (criminal) offences (other than those covered in L07) and, if so, under which conditions?",No,No,
8426,"Consider the country of Pakistan. Does the country provide for involuntary loss of citizenship by a person who acquires a foreign citizenship and, if so, under which conditions?",Yes,No,
5462,"Consider the country of Swaziland. Does the country provide for facilitated acquisition of citizenship (on easier terms than residence-based acquisition) by a person who is a citizen of a specific country and, if so, under which conditions?",No,No,
1982,Consider the country of Micronesia. Does the country require the absence of certain crimes and/or offences or proof of moral character for residence- based acquisition?,No,No,
3566,"Consider the country of Latvia. Does the country provide for acquisition of citizenship by a person who makes a specific payment or invests a substantial sum of money in the country and, if so, under which conditions?",No,No,
5333,"Consider the country of Suriname. Does the country provide for acquisition of citizenship by a person who is in the public service (including military service) and, if so, under which conditions?",No,No,
2441,"Consider the country of Honduras. Does the country provide specific conditions for the acquisition of citizenship by a person in its territory who is stateless or of undetermined citizenship (different from those for residence-based acquisition) and, if so, under which conditions?",No,No,
3788,"Consider the country of Mali. Does the country provide for acquisition of citizenship by the child of a person who has become a citizen (but the child did not do so at the same time) and, if so, under which conditions?",No,No,
8747,"Consider the country of Somalia. Does the country provide for involuntary loss of citizenship by a person one or both of whose parents lose citizenship of the country and, if so, under which conditions?",No,No,
3655,"Consider the country of Madagascar. Does the country provide for acquisition of citizenship by the spouse, child or grandchild of a former citizen and, if so, under which conditions?",No,No,
7442,"Consider the country of Guinea Bissau. Does the country provide for involuntary loss of citizenship by a person one or both of whose parents lose citizenship of the country and, if so, under which conditions?",No,No,
6058,Consider the country of United States of America. Which residence conditions does the country provide for residence-based acquisition?,Yes,Yes,
3226,"Consider the country of Laos. Does the country provide for acquisition of citizenship by a person who makes a specific payment or invests a substantial sum of money in the country and, if so, under which conditions?",No,No,
